Datetime,Water Level (m)
2023-02-04 18:00:00,-0.18025632
2023-02-04 19:00:00,-0.73325485
2023-02-04 20:00:00,-1.185091
2023-02-04 21:00:00,-1.3981746
2023-02-04 22:00:00,-1.3046997
2023-02-04 23:00:00,-0.96557003
2023-02-05 00:00:00,-0.47195274
2023-02-05 01:00:00,0.002624513
2023-02-05 02:00:00,0.29692215
2023-02-05 03:00:00,0.36439517
2023-02-05 04:00:00,0.2220557
2023-02-05 05:00:00,-0.062890045
2023-02-05 06:00:00,-0.4598693
2023-02-05 07:00:00,-0.897662
2023-02-05 08:00:00,-1.2384485
2023-02-05 09:00:00,-1.3726524
2023-02-05 10:00:00,-1.2394428
2023-02-05 11:00:00,-0.86147106
2023-02-05 12:00:00,-0.35669175
2023-02-05 13:00:00,0.17286223
2023-02-05 14:00:00,0.600642
2023-02-05 15:00:00,0.81869316
2023-02-05 16:00:00,0.77496666
2023-02-05 17:00:00,0.4855295
2023-02-05 18:00:00,-0.006143688
2023-02-05 19:00:00,-0.59715784
2023-02-05 20:00:00,-1.126008
2023-02-05 21:00:00,-1.4521004
2023-02-05 22:00:00,-1.4857361
2023-02-05 23:00:00,-1.2072192
2023-02-06 00:00:00,-0.7370907
2023-02-06 01:00:00,-0.22326605
2023-02-06 02:00:00,0.20037778
2023-02-06 03:00:00,0.43526936
2023-02-06 04:00:00,0.4256555
2023-02-06 05:00:00,0.19171077
2023-02-06 06:00:00,-0.1956278
2023-02-06 07:00:00,-0.67649007
2023-02-06 08:00:00,-1.1300024
2023-02-06 09:00:00,-1.4204288
2023-02-06 10:00:00,-1.4309543
2023-02-06 11:00:00,-1.1352658
2023-02-06 12:00:00,-0.6331614
2023-02-06 13:00:00,-0.06982749
2023-02-06 14:00:00,0.4504477
2023-02-06 15:00:00,0.8192443
2023-02-06 16:00:00,0.9154729
2023-02-06 17:00:00,0.7010533
2023-02-06 18:00:00,0.25304237
2023-02-06 19:00:00,-0.31522253
2023-02-06 20:00:00,-0.89510936
2023-02-06 21:00:00,-1.3548495
2023-02-06 22:00:00,-1.5549675
2023-02-06 23:00:00,-1.4029129
